Code,Symbol,Name,Mass,Formula,Ave Mass,,,,,average_mass_P,average_mass_cP,average_mass_nucleoside,,,,
U,U,uridine,306.0253,C9H11N2O8P,306.1668,244.203,320.04097,334.05664,,305.18276,287.16748,243.21814,,,,
C,C,cytidine,305.0413,C9H12N3O7P,305.1828,,319.05697,333.07264,,306.16676,288.15148,244.20214,,,,
A,A,adenosine,329.0525,C10H12N5O6P,329.2088,267.245,343.06817,357.08384,443.2088,329.20876,311.19348,267.24414,,,,
G,G,guanosine,345.0474,C10H12N5O7P,345.2078,,359.06307,373.07874,,345.20776,327.19248,283.24314,,,,
H,?A,,,,,H = 1.00794,O = 15.9994,P= 30.97376,14.02658,,,,,,,
"""",m1A,1-methyladenosine,343.06817,C11H14N5O6P,343.2358,14.01567,,,,,,,,,,
/,m2A,2-methyladenosine,343.06817,C11H14N5O6P,343.2358,,,,,,,,,,,
+,i6A,N6-isopentenyladenosine,397.11512,C15H20N5O6P,397.3278,,68.06262,,,,,,,,,
*,ms2i6A,2-methylthio-N6-isopentenyladenosine,443.10284,C16H22N5O6PS,443.4148,,114.05034,,,,,,,,,
#ERROR!,m6A,N6-methyladenosine,343.06817,C11H14N5O6P,343.2358,,,,,,,,,,,
6,t6A,N6-threonylcarbamoyladenosine,474.09003,C15H19N6O10P,474.3228,,145.03753,,,,,,,,,
E,m6t6A,N6-methyl-N6-threonylcarbamoyladenosine,488.10568,C16H21N6O10P,488.3498,,,,,,,,,,,
[,ms2t6A,2-methylthio-N6-threonylcarbamoyladenosine,520.07775,C16H21N6O10PS,520.4098,,,,,,,,,,,
:,Am,2'-O-methyladenosine,343.06817,C11H14N5O6P,343.2358,,,,,,,,,,,
I,I,inosine,330.03654,C10H11N4O7P,330.1928,330.1928,,,,,,,,,,
O,m1I,1-methylinosine,344.052,C11H13N4O7P,344.2198,,,,,,,,,,,
^,Ar(p),2'-O-ribosyladenosine (phosphat),541.06111,C15H21N5O13P2,541.3025,,,,,,,,,,,
`,io6A,N6-(cis-hydroxyisopentenyl)adenosine,413.11003,C15H20N5O7P,413.3268,,,,,,,,,,,
<,?C,,,,,,,,,,,,,,,
%,s2C,2-thiocytidine,321.01844,C9H12N3O6PS,321.2438,,,,,,,,,,,
B,Cm,2'-O-methylcytidine,319.05694,C11H13N4O7P,319.2098,,,,,,,,,,,
M,ac4C,N4-acetylcytidine,347.05185,C11H14N3O8P,347.2198,,,,,,,,,,,
?,m5C,5-methylcytidine,319.05694,C10H14N3O7P,319.2098,,,,,,,,,,,
,m3C,3-methylcytidine,319.05694,C10H14N3O7P,319.2098,,,,,,,,,,,
},k2C,lysidine,433.13625,C15H24N5O8P,433.3578,,,,,,,,,,,
>,f5C,5-formylcytidin,333.0362,C10H12N3O8P,333.1928,,,,,,,,,,,
ˇ,f5Cm,2-O-methyl-5-formylcytidin,347.05185,C11H14N3O8P,347.2198,,,,,,,,,,,
;,?G,,,,,,,,,,,,,,,
0,G',di-guanosine,346.0574,C10H12N5O7P,346.2078,,,,,,,,,,,
K,m1G,1-methylguanosine,359.06308,C11H14N5O7P,359.2348,,,,,,,,,,,
L,m2G,N2-methylguanosine,359.06308,C11H14N5O7P,359.2348,,,,,,,,,,,
#,Gm,2'-O-methylguanosine,359.06308,C11H14N5O7P,359.2348,,,,,,,,,,,
R,m22G,"N2,N2-dimethylguanosine",373.07873,C12H16N5O7P,373.2618,,,,,,,,,,,
|,m22Gm,"N2,N2,2'-O-trimethylguanosine",387.09438,C13H18N5O7P,387.2888,,,,,,,,,,,
7,m7G,7-methylguanosine,359.06308,C11H14N5O7P,359.2348,,,,,,,,,,,
(,fa7d7G,archaeosine,386.07398,C12H15N6O7P,386.2608,,,,,,,,,,,
Q,Q,queuosine,471.11551,C17H22N5O9P,471.3628,471.3628,,,,,,,,,,
8,manQ,mannosyl-queuosine,633.16834,C23H32N5O14P,633.5038,633.5038,,,,,,,,,,
9,galQ,galactosyl-queuosine,633.16834,C23H32N5O14P,633.5038,633.5038,,,,,,,,,,
Y,yW,wybutosine,212.0106,C21H27N6O11P,570.4518,,,,,,,,,,,
W,o2yW,peroxywybutosine,602.13737,C21H27N6O13P,602.4498,,,,,,,,,,,
N,?U,,,,,,,,,,,,,,,
{,mnm5U,5-methylaminomethyluridine,349.0675,C11H16N3O8P,349.2358,,,,,,,,,,,
2,s2U,2-thiouridine,322.00246,C9H11N2O7PS,322.2278,,,,,,,,,,,
J,Um,2'-O-methyluridine,320.04095,C10H13N2O8P,320.1938,,,,,,,,,,,
4,s4U,4-thiouridine,322.00246,C9H11N2O7PS,322.2278,,,,,,,,,,,
&,ncm5U,5-carbamoylmethyluridine,363.04677,C11H14N3O9P,363.2188,363.04677,,,,,,,,,,
1,mcm5U,5-methoxycarbonylmethyluridine,378.04643,C12H15N2O10P,378.2298,378.04643,,,,,,,,,,
S,mnm5s2U,5-methylaminomethyl-2-thiouridine,365.04466,C11H16N3O7PS,365.2968,,,,,,,,,,,
3,mcm5s2U,5-methoxycarbonylmethyl-2-thiouridine,394.02359,C12H15N2O9PS,394.2908,394.02359,,,,,,,,,,
V,cmo5U,uridine 5-oxyacetic acid,380.0257,C11H13N2O11P,380.2018,,,,,,,,,,,
5,mo5U,5-methoxyuridine,336.03587,C10H13N2O9P,336.1928,,,,,,,,,,,
!,cmnm5U,5-carboxymethylaminomethyluridine,393.05733,C12H16N3O10P,393.2448,,,,,,,,,,,
$,cmnm5s2U,5-carboxymethylaminomethyl-2-thiouridine,409.03449,C12H16N3O9PS,409.3058,,,,,,,,,,,
X,acp3U,3-(3-amino-3-carboxypropyl)uridine,407.07298,C13H18N3O10P,407.2718,,,,,,,,,,,
x,acp3U+Cy3B,3-(3-amino-3-carboxypropyl)uridine + Cy3B,949.30298,C13H18N3O10P,949.30298,,,,,,,,,,,
",",mchm5U,5-(carboxyhydroxymethyl)uridinemethyl ester,394.04135,C12H15N2O11P,394.2288,394.04135,,,,",",,,,,,
),cmnm5Um,5-carboxymethylaminomethyl-2'-O-methyluridine,407.07298,C13H18N3O10P,407.2718,,,,,,,,,,,
~,ncm5Um,5-carbamoylmethyl-2'-O-methyluridine,377.06242,C12H16N3O9P,377.2458,,,,,,,,,,,
D,D,dihydrouridine,308.04095,C9H13N2O8P,308.1828,,,,,,,,,,,
@,@,dihydrouridine,307.03995,C9H13N2O8P,307.1128,,,,,,,,,,,
P,psi,pseudouridine,306.0253,C9H11N2O8P,306.1668,,,,,,,,,,,
],m1psi,1-methylpseudouridine,320.04095,C10H13N2O8P,320.1938,,,,,,,,,,,
Z,psim,2'-O-methylpseudouridine,320.04095,C10H13N2O8P,320.1938,,,,,,,,,,,
T,m5U,ribosylthymine,320.04095,C10H13N2O8P,320.1938,,,,,,,,,,,
F,m5s2U,5-methyl-2-thiouridine,336.01811,C10H13N2O7PS,336.2548,,,,,,,,,,,
r,m5Um,"5, 2'-O-dimethyluridine",334.0566,C11H15N2O8P,334.2208,"note: this was previously \, it was changed out of concern to react with the R environment as an escape code",,,,,,,,,,
_,tm5s2U,5-taurinomethyl-2-thiouridine,459.0171,,,,,,,,,,,,,
_,tm5U,5-taurinomethyluridine,443.04,,,,,,,,,,,,,
Ph,,additional phosphate,79.9663,,,,,,,,,,,,,
Gly_aa,,Gly amino acid,57.02146,,,,,,,,,,,,,
Na,,sodium ion,21.982493,,,,,,,,,,,,,
.,mcm5Um,5-methoxycarbonylmethyl-2'-O-methyluridine,330.1063,,,,,,,,,,,,,
h,hm5C,5-hydroxymethylcytidine,335.05185,,,,,,,,,,,,,
m,hm5Cm,2'-O-methyl-5-hydroxymethylcytidine,349.0675,,,,,,,,,,,,,
f,f5Cm,5-formyl-2'-O-methylcytidine,347.05185,,,,,,,,,,,,,
o,OHyW,hydroxywybutosine,586.14246,,,,,,,,,,,,,